confidence,fixture_id,judge,judge_model_family,llm_won,marker,order,pair_id,plan_a_score,plan_b_score,preferred,rationale,record_id,run,self_family_match,source_model_family,winner_role
0.95,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,True,clarity_actionability,AB,pair_0000,4,3,plan_a,Plan A's daily summaries are more direct and easier to follow.,pair_0000__gemma_4b_judge__r00__AB,0,True,gemma,llm
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,True,endurance_development,AB,pair_0000,4,3,plan_a,"Plan A consistently builds long runs and aerobic volume, crucial for trail endurance.",pair_0000__gemma_4b_judge__r00__AB,0,True,gemma,llm
0.85,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,explanation_quality,AB,pair_0000,3,4,plan_b,Plan B provides slightly more descriptive rationale for each session.,pair_0000__gemma_4b_judge__r00__AB,0,True,gemma,programmatic
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,load_progression,AB,pair_0000,3,4,plan_b,"Plan B has a slightly more gradual and varied load progression, avoiding a large jump in volume.",pair_0000__gemma_4b_judge__r00__AB,0,True,gemma,programmatic
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,True,plan_coherence,AB,pair_0000,4,3,plan_a,Plan A's consistent focus on aerobic endurance and hill work creates a more cohesive plan.,pair_0000__gemma_4b_judge__r00__AB,0,True,gemma,llm
0.8,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,quality_session_design,AB,pair_0000,3,4,plan_b,"Plan B includes a cross-training session, adding variety and potentially aiding recovery.",pair_0000__gemma_4b_judge__r00__AB,0,True,gemma,programmatic
0.75,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,readiness_alignment,AB,pair_0000,3,4,plan_b,Plan B's inclusion of cross-training and shorter sessions could better accommodate potential readiness fluctuations.,pair_0000__gemma_4b_judge__r00__AB,0,True,gemma,programmatic
0.8,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,True,recovery_safety,AB,pair_0000,4,3,plan_a,"Plan A has more rest days and a lower overall volume, promoting better recovery.",pair_0000__gemma_4b_judge__r00__AB,0,True,gemma,llm
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,True,training_specificity,AB,pair_0000,4,3,plan_a,"Plan A is highly specific to trail running, with consistent hill work and trail runs.",pair_0000__gemma_4b_judge__r00__AB,0,True,gemma,llm
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,clarity_actionability,BA,pair_0000,4,3,plan_a,Plan A's daily summaries are more concise and directly state the purpose of each session.,pair_0000__gemma_4b_judge__r00__BA,0,True,gemma,programmatic
0.85,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,endurance_development,BA,pair_0000,4,3,plan_a,"Plan A prioritizes longer runs and consistent aerobic work, better supporting endurance.",pair_0000__gemma_4b_judge__r00__BA,0,True,gemma,programmatic
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,explanation_quality,BA,pair_0000,3,2,plan_a,Plan A's explanations are more specific about the goals of each session.,pair_0000__gemma_4b_judge__r00__BA,0,True,gemma,programmatic
0.8,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,,load_progression,BA,pair_0000,3,3,tie,"Both plans have a reasonable progression, but Plan A has a slightly more varied distribution.",pair_0000__gemma_4b_judge__r00__BA,0,True,gemma,tie
