any_presentation_artifact,fixture_id,llm_activity_like_fragment,llm_any_presentation_artifact,llm_avg_hr,llm_duration_text_inconsistency,llm_elevation_or_vertical,llm_ellipsis,llm_km_unit,llm_plan_id,llm_trailrun_pipe,pair_id,programmatic_activity_like_fragment,programmatic_any_presentation_artifact,programmatic_avg_hr,programmatic_duration_text_inconsistency,programmatic_elevation_or_vertical,programmatic_ellipsis,programmatic_km_unit,programmatic_plan_id,programmatic_trailrun_pipe,source_model_family
1,ab_A1__r_high__rc_high__ph_base,1,1,1,1,0,1,1,ab_A1__r_high__rc_high__ph_base__gemma_3_4b_it__src_t070__exp_t000__s000,1,pair_0000,0,0,0,0,0,0,0,ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s011,0,gemma
0,ab_A1__r_high__rc_high__ph_base,0,0,0,0,0,0,0,ab_A1__r_high__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s004,0,pair_0001,0,0,0,0,0,0,0,ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s008,0,qwen
1,ab_A1__r_high__rc_high__ph_base,1,1,1,0,0,0,1,ab_A1__r_high__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s002,1,pair_0002,0,0,0,0,0,0,0,ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s010,0,qwen
0,ab_A1__r_high__rc_high__ph_base,0,0,0,0,0,0,0,ab_A1__r_high__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s005,0,pair_0003,0,0,0,0,0,0,0,ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s002,0,qwen
1,ab_A1__r_high__rc_high__ph_base,0,1,0,0,0,1,0,ab_A1__r_high__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s003,0,pair_0004,0,0,0,0,0,0,0,ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s017,0,qwen
1,ab_A1__r_high__rc_high__ph_base,0,1,0,0,0,1,0,ab_A1__r_high__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s001,0,pair_0005,0,0,0,0,0,0,0,ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s009,0,qwen
0,ab_A1__r_high__rc_high__ph_base,0,0,0,0,0,0,0,ab_A1__r_high__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s000,0,pair_0006,0,0,0,0,0,0,0,ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s016,0,qwen
0,ab_A1__r_high__rc_high__ph_peak,0,0,0,0,0,0,0,ab_A1__r_high__rc_high__ph_peak__qwen2.5_7b_instruct__src_t070__exp_t000__s002,0,pair_0007,0,0,0,0,0,0,0,ab_A1__r_high__rc_high__ph_peak__prog__exp_t000__s008,0,qwen
0,ab_A1__r_high__rc_high__ph_peak,0,0,0,0,0,0,0,ab_A1__r_high__rc_high__ph_peak__qwen2.5_7b_instruct__src_t070__exp_t000__s003,0,pair_0008,0,0,0,0,0,0,0,ab_A1__r_high__rc_high__ph_peak__prog__exp_t000__s009,0,qwen
1,ab_A1__r_high__rc_high__ph_peak,1,1,1,0,0,1,1,ab_A1__r_high__rc_high__ph_peak__qwen2.5_7b_instruct__src_t070__exp_t000__s000,1,pair_0009,0,0,0,0,0,0,0,ab_A1__r_high__rc_high__ph_peak__prog__exp_t000__s011,0,qwen
