category,fixture_id,judge,judge_model_family,marker,pair_id,run,self_family_match,source_model_family
position_consistent_plan_a,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,clarity_actionability,pair_0000,0,True,gemma
position_consistent_plan_a,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,endurance_development,pair_0000,0,True,gemma
source_consistent_programmatic,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,explanation_quality,pair_0000,0,True,gemma
other_inconsistent,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,load_progression,pair_0000,0,True,gemma
position_consistent_plan_a,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,plan_coherence,pair_0000,0,True,gemma
source_consistent_programmatic,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,quality_session_design,pair_0000,0,True,gemma
other_inconsistent,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,readiness_alignment,pair_0000,0,True,gemma
position_consistent_plan_a,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,recovery_safety,pair_0000,0,True,gemma
position_consistent_plan_a,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,training_specificity,pair_0000,0,True,gemma
position_consistent_plan_a,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,clarity_actionability,pair_0000,1,True,gemma
position_consistent_plan_a,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,endurance_development,pair_0000,1,True,gemma
source_consistent_programmatic,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,explanation_quality,pair_0000,1,True,gemma
other_inconsistent,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,load_progression,pair_0000,1,True,gemma
position_consistent_plan_a,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,plan_coherence,pair_0000,1,True,gemma
source_consistent_programmatic,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,quality_session_design,pair_0000,1,True,gemma
other_inconsistent,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,readiness_alignment,pair_0000,1,True,gemma
position_consistent_plan_a,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,recovery_safety,pair_0000,1,True,gemma
position_consistent_plan_a,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,training_specificity,pair_0000,1,True,gemma
position_consistent_plan_a,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,clarity_actionability,pair_0000,2,True,gemma
position_consistent_plan_a,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,endurance_development,pair_0000,2,True,gemma
source_consistent_programmatic,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,explanation_quality,pair_0000,2,True,gemma
other_inconsistent,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,load_progression,pair_0000,2,True,gemma
position_consistent_plan_a,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,plan_coherence,pair_0000,2,True,gemma
source_consistent_programmatic,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,quality_session_design,pair_0000,2,True,gemma
other_inconsistent,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,readiness_alignment,pair_0000,2,True,gemma
position_consistent_plan_a,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,recovery_safety,pair_0000,2,True,gemma
position_consistent_plan_a,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,training_specificity,pair_0000,2,True,gemma
position_consistent_plan_a,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,clarity_actionability,pair_0000,3,True,gemma
position_consistent_plan_a,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,endurance_development,pair_0000,3,True,gemma
source_consistent_programmatic,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,explanation_quality,pair_0000,3,True,gemma
other_inconsistent,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,load_progression,pair_0000,3,True,gemma
position_consistent_plan_a,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,plan_coherence,pair_0000,3,True,gemma
source_consistent_programmatic,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,quality_session_design,pair_0000,3,True,gemma
other_inconsistent,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,readiness_alignment,pair_0000,3,True,gemma
position_consistent_plan_a,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,recovery_safety,pair_0000,3,True,gemma
position_consistent_plan_a,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,training_specificity,pair_0000,3,True,gemma
position_consistent_plan_a,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,clarity_actionability,pair_0000,4,True,gemma
position_consistent_plan_a,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,endurance_development,pair_0000,4,True,gemma
source_consistent_programmatic,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,explanation_quality,pair_0000,4,True,gemma
other_inconsistent,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,load_progression,pair_0000,4,True,gemma
position_consistent_plan_a,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,plan_coherence,pair_0000,4,True,gemma
source_consistent_programmatic,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,quality_session_design,pair_0000,4,True,gemma
other_inconsistent,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,readiness_alignment,pair_0000,4,True,gemma
position_consistent_plan_a,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,recovery_safety,pair_0000,4,True,gemma
position_consistent_plan_a,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,training_specificity,pair_0000,4,True,gemma
position_consistent_plan_a,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,clarity_actionability,pair_0001,0,False,qwen
position_consistent_plan_b,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,endurance_development,pair_0001,0,False,qwen
consistent_tie,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,explanation_quality,pair_0001,0,False,qwen
position_consistent_plan_b,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,load_progression,pair_0001,0,False,qwen
position_consistent_plan_a,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,plan_coherence,pair_0001,0,False,qwen
position_consistent_plan_b,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,quality_session_design,pair_0001,0,False,qwen
other_inconsistent,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,readiness_alignment,pair_0001,0,False,qwen
position_consistent_plan_a,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,recovery_safety,pair_0001,0,False,qwen
source_consistent_llm,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,training_specificity,pair_0001,0,False,qwen
position_consistent_plan_a,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,clarity_actionability,pair_0001,1,False,qwen
position_consistent_plan_b,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,endurance_development,pair_0001,1,False,qwen
consistent_tie,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,explanation_quality,pair_0001,1,False,qwen
position_consistent_plan_b,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,load_progression,pair_0001,1,False,qwen
position_consistent_plan_a,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,plan_coherence,pair_0001,1,False,qwen
position_consistent_plan_b,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,quality_session_design,pair_0001,1,False,qwen
other_inconsistent,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,readiness_alignment,pair_0001,1,False,qwen
position_consistent_plan_a,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,recovery_safety,pair_0001,1,False,qwen
source_consistent_llm,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,training_specificity,pair_0001,1,False,qwen
position_consistent_plan_a,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,clarity_actionability,pair_0001,2,False,qwen
position_consistent_plan_b,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,endurance_development,pair_0001,2,False,qwen
consistent_tie,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,explanation_quality,pair_0001,2,False,qwen
position_consistent_plan_b,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,load_progression,pair_0001,2,False,qwen
position_consistent_plan_a,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,plan_coherence,pair_0001,2,False,qwen
position_consistent_plan_b,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,quality_session_design,pair_0001,2,False,qwen
other_inconsistent,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,readiness_alignment,pair_0001,2,False,qwen
position_consistent_plan_a,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,recovery_safety,pair_0001,2,False,qwen
source_consistent_llm,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,training_specificity,pair_0001,2,False,qwen
position_consistent_plan_a,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,clarity_actionability,pair_0001,3,False,qwen
position_consistent_plan_b,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,endurance_development,pair_0001,3,False,qwen
consistent_tie,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,explanation_quality,pair_0001,3,False,qwen
position_consistent_plan_b,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,load_progression,pair_0001,3,False,qwen
position_consistent_plan_a,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,plan_coherence,pair_0001,3,False,qwen
position_consistent_plan_b,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,quality_session_design,pair_0001,3,False,qwen
other_inconsistent,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,readiness_alignment,pair_0001,3,False,qwen
position_consistent_plan_a,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,recovery_safety,pair_0001,3,False,qwen
source_consistent_llm,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,training_specificity,pair_0001,3,False,qwen
position_consistent_plan_a,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,clarity_actionability,pair_0001,4,False,qwen
position_consistent_plan_b,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,endurance_development,pair_0001,4,False,qwen
consistent_tie,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,explanation_quality,pair_0001,4,False,qwen
